FIELD_NAME,FIELD_TYPE,FIELD_DESCRIPTION,UNIT_OF_MEASURE,ALLOWED_VALUES
GENUS,NVARCHAR2,Genus,NA,NA
COLONY_LENGTH,NUMBER,Colony length in centimeters; length is defined as the measurement of the greatest colony diameter,centimeters,NA
COLONY_WIDTH,NUMBER,"Colony width in centimeters; width is defined as the measurement perpendicular to the greatest colony diameter (i.e., length)",centimeters,NA
OLD_DEAD,NUMBER,Percentage of old dead coral,percent,NA
RECENT_DEAD,NUMBER,"Percentage of recently dead coral; recent dead is characterized by white skeleton lacking live tissue, or by skeleton colonized by bright green microturfing algae",percent,NA
DZ_CODE,NVARCHAR2,Code for coral disease or condition,NA,"NULL, AI = Algal infestation, ALPH = Alpheus burrow, AO = Algal overgrowth, ASC = Ascidian, BLEA = Bleaching, BLKB = Black band disease, BRNB = Brown band disease, COR = Coralliophila, COTS = Crown of thorns seastar, CYAN = Cyanobacteria, DISC = Discoloration, DRUP = Drupella, FB = Fish bites, GGA = Growth anomaly, MSC = Mucous sloughing from coral, NA = Not applicable, PALE = Paling, PB = Patchy bleaching, PR = Pigmentation response, PRED = Predation-unknown, SATL = Sub-acute tissue loss, SEB = Skeletal eroding band disease, SED = Sediment on coral, TERP = Terpios overgrowth, UN = Unknown, URCH = Urchin infestation, UWS = Ulcerative white spots disease, VERM = Vermetid worm infestation, WS = White syndrome"
DISEASE,NVARCHAR2,Coral disease or condition,NA,"NULL, Algal infestation, Alpheus burrow, Algal overgrowth, Ascidian, Bleaching, Black band disease, Brown band disease, Coralliophila, Crown of thorns seastar, Cyanobacteria, Discoloration, Drupella, Fish bites, Growth anomaly, Mucous sloughing from coral, Not applicable, Paling, Patchy bleaching, Pigmentation response, Predation-unknown, Sub-acute tissue loss, Skeletal eroding band disease, Sediment on coral, Terpios overgrowth, Unknown, Urchin infestation, Ulcerative white spots disease, Vermetid worm infestation, White syndrome"
SEVERITY,NUMBER,Severity of disease/condition (1 = 1–20% of colony affected; 2 = 21–40%; 3 = 41–60%; 4 = 61–80%; 5 = 81–100%),NA,"1, 2, 3, 4, 5"
DZ_CODE2,NVARCHAR2,Code for second coral disease or condition,NA,"NULL, AI = Algal infestation, ALPH = Alpheus burrow, AO = Algal overgrowth, ASC = Ascidian, BLEA = Bleaching, BLKB = Black band disease, BRNB = Brown band disease, COR = Coralliophila, COTS = Crown of thorns seastar, CYAN = Cyanobacteria, DISC = Discoloration, DRUP = Drupella, FB = Fish bites, GGA = Growth anomaly, MSC = Mucous sloughing from coral, NA = Not applicable, PALE = Paling, PB = Patchy bleaching, PR = Pigmentation response, PRED = Predation-unknown, SATL = Sub-acute tissue loss, SEB = Skeletal eroding band disease, SED = Sediment on coral, TERP = Terpios overgrowth, UN = Unknown, URCH = Urchin infestation, UWS = Ulcerative white spots disease, VERM = Vermetid worm infestation, WS = White syndrome"
DISEASE2,NVARCHAR2,Second coral disease or condition,NA,"NULL, Algal infestation, Alpheus burrow, Algal overgrowth, Ascidian, Bleaching, Black band disease, Brown band disease, Coralliophila, Crown of thorns seastar, Cyanobacteria, Discoloration, Drupella, Fish bites, Growth anomaly, Mucous sloughing from coral, Not applicable, Paling, Patchy bleaching, Pigmentation response, Predation-unknown, Sub-acute tissue loss, Skeletal eroding band disease, Sediment on coral, Terpios overgrowth, Unknown, Urchin infestation, Ulcerative white spots disease, Vermetid worm infestation, White syndrome"
SEVERITY2,NUMBER,Severity of second disease/condition (1 = 1–20% of colony affected; 2 = 21–40%; 3 = 41–60%; 4 = 61–80%; 5 = 81–100%),NA,"1, 2, 3, 4, 5"
PHOTO_YN,NVARCHAR2,"Indicates availability of photo of colony (1 = Yes, 0 = No)",NA,"Yes, No"
COLLECTED_YN,NVARCHAR2,"Indicates whether all or a portion of the colony was collected (1 = Yes, 0 = No)",NA,"Yes, No"
FRAGMENT_YN,NVARCHAR2,"Indicates if the colony was an not attached to substrate, possibly as a fragment of another colony (1 = Yes, 0 = No)",NA,"Yes, No"
REMNANT_YN,NVARCHAR2,Indicates if the colony may be a remnant of a larger colony,NA,"Yes, No"
COMMENT_,NVARCHAR2,Comments recorded by the observer,NA,NA
